         50343999 function calls (50336476 primitive calls) in 552.551 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.001    0.001 _base.py:510(<lambda>)
        1    0.000    0.000    0.003    0.003 _base.py:588(_init_axis)
        1    0.000    0.000    0.001    0.001 _base.py:598(set_figure)
        1    0.000    0.000    0.000    0.000 _base.py:618(_set_lim_and_transforms)
    29/15    0.000    0.000    0.000    0.000 _base.py:657(get_xaxis_transform)
        3    0.000    0.000    0.000    0.000 _base.py:682(get_xaxis_text1_transform)
        3    0.000    0.000    0.000    0.000 _base.py:710(get_xaxis_text2_transform)
    29/15    0.000    0.000    0.000    0.000 _base.py:737(get_yaxis_transform)
        3    0.000    0.000    0.000    0.000 _base.py:762(get_yaxis_text1_transform)
        3    0.000    0.000    0.000    0.000 _base.py:789(get_yaxis_text2_transform)
        2    0.000    0.000    0.000    0.000 _base.py:817(_update_transScale)
        1    0.000    0.000    0.000    0.000 _base.py:903(set_axes_locator)
        8    0.000    0.000    0.000    0.000 _base.py:920(_set_artist_props)
        1    0.000    0.000    0.000    0.000 _base.py:930(_gen_axes_patch)
        1    0.000    0.000    0.002    0.002 _base.py:946(_gen_axes_spines)
